,Sentence,Inhibitors,Promoters
972,these findings thus characterize in more detail the specific functions of rhoa with importance to pathobiology of traumatic and degenerative cns  disorders  and  contribute  to an improved understanding of the value of rhoa as a putative therapeutic target.,rhoa (inhibitor) ,
973,thrombin induces apoptosis in cultured neurons and astrocytes via a pathway requiring tyrosine kinase and rhoa activities.,rhoa (inhibitor) ,
974,switching mature retinal ganglion cells to a robust growth state in vivo: gene expression and syn- ergy with rhoa inactivation.,rhoa (inhibitor) ,
975,elevated levels of rhoa in the optic nerve head of human eyes with glaucoma.,rhoa (inhibitor) ,
976,"delayed intrathecal delivery of rhoa sirna to the contused spinal cord inhibits allodynia, preserves white matter and increases serotonergic fiber growth.",rhoa (inhibitor) ,
977,distribution and expression of rhoa in rat retina after optic nerve injury.,rhoa (inhibitor) ,
978,"received: 21 july 2014; accepted: 20 august 2014; published online: 05 september 2014. citation: koch jc, tönges l, michel u, bähr m and lingor p (2014) viral vector- mediated downregulation of rhoa increases survival and axonal regeneration of retinal ganglion cells.",rhoa (inhibitor) ,
979,"leaver sg, cui q, plant gw, arulpragasam a, hisheh s, verhaagen j, harvey ar (2006) aav-mediated expression of cntf promotes long-term survival and regeneration of adult rat retinal ganglion cells.",,cntf (promoter)  cntf (promoter) 
980,"ren r, li y, liu z, liu k, he s (2012) long-term rescue of rat retinal ganglion cells and visual function by aav-mediated bdnf expres- sion after acute elevation of intraocular pressure.",bdnf (inhibitor) ,
981,"weber aj, viswanathan s, ramanathan c, harman cd (2010) com- bined application of bdnf to the eye and brain enhances ganglion cell survival and function in the cat after optic nerve injury.",bdnf (inhibitor) ,
982,role of cspg receptor lar phosphatase in restricting axon regeneration after cns injury,cspg (inhibitor)  lar (inhibitor) ,
983,recent studies support that the receptor protein tyrosine phosphatase σ (ptpσ) and its subfamily member leukocyte common antigen related phosphatase (lar) act as transmembrane receptors to mediate cspg inhibition.,cspg (inhibitor) ,
984,pharmacological lar inhibition enhanced serotonergic axon growth in sci mice.,lar (inhibitor) ,
985,"however, transgenic lar deletion on axon growth in vivo and role of lar in regulating regrowth of other fiber tracts have not been studied.",lar (inhibitor) ,
986,"here, we studied role of lar in restricting regrowth of injured descending cns axons in deficient mice.",lar (inhibitor) ,
987,"moreover, lar deletion improved functional recovery by increasing bms locomotor scores and stride length and reducing grid walk errors.",lar (inhibitor) ,
988,this is the first transgenic study that demonstrates crucial role of lar in restricting regrowth of injured cns axons.,lar (inhibitor) ,
989,cspg receptor; lar phosphatase; spinal cord injury; scar inhibition; axon regeneration; functional recovery,lar (inhibitor) ,
990,"conveying cspg inhibition, including ptpσ, lar, nogo receptor (ngr) 1 and 3",cspg (inhibitor)  nogo (inhibitor) ,
991,"lar, two members in the lar subfamily, could bind cspgs with high affinity and mediate their suppression of axon elongation.",lar (inhibitor) ,
992,"pharmacological blockade of lar with small peptides stimulated regrowth of 5-ht axons (fisher et al., 2011).",lar (inhibitor) ,
993,"however, many critical issues regarding cspg receptor function remain unclear, including validation of lar function on axon growth in vivo by a transgenic",cspg (inhibitor)  lar (inhibitor) ,
994,"in this study, we studied the effect of lar deletion on cns axonal regeneration and functional recovery.",lar (inhibitor) ,
995,"digestion of cspg gag chains with locally applied bacterial chondroitinase abc (chabc) has been the main in vivo approach to surmount cspg inhibition, but chabc has many important disadvantages for therapeutic use in patients (lee et al., 2010; lemons et al., 2003; sharma et al., 2012).",cspg (inhibitor) ,
996,"therefore, a better understanding of cspg receptor function may facilitate surmounting scar-mediated growth inhibition and developing more effective therapies for cns injury.",cspg (inhibitor) ,
997,"to determine expression changes of lar after a cns injury, we examine levels of this protein in lesioned spinal cord in female c57bl/6 mice (9 weeks old) after dorsal over- transection injury at t7 (see below for injury induction).",lar (inhibitor) ,
998,"to check lar expression at different time points, we perfused sci mice transcardially with cold pbs for 5 min 1, 3, 7, 14 and 21 days after injury (4 mice per time point).",lar (inhibitor) ,
999,"after preparation of the spinal cord blocks in lysis buffer with protease inhibitors (1 mm phenylmethylsulfonyl fluoride, 2 mm orthovanadate, 10 µg/ml leupeptin and 10 µg/ml aprotinin, sigma), the supernatants of these samples were analyzed for lar protein levels with western blots.",lar (inhibitor) ,
1000,"in brief, following total protein quantification with bio-rad dc protein assay reagents, the samples containing same amount of total proteins (20 µg/well) were prepared for western blots using antibodies against lar (clone 7, bdb610351, bd biosciences).",lar (inhibitor) ,
1001,the band density of lar protein calculated by software at different time points was calibrated with that actin reprobed with the same blots.,lar (inhibitor) ,
1002,"to confirm lar upregulation 7 days after a dorsal over-transection, we immunostained parasagittal sections of the spinal cord 4 mm rostral and caudal to the lesion epicenter for lar protein in adult mice.",lar (inhibitor) ,
1003,"to determine expression of lar in serotonergic and cst axons, 4 adult wild-type mice received biotin dextran amine (bda) tracer injections into the left sensorimotor cortex.",lar (inhibitor) ,
1004,tissue sections (30 µm) of fixed spinal cord were doubly stained for lar and 5-ht (raphespinal axons) or for lar and bda (cst axons) 14 days after bda tracer injections.,lar (inhibitor) ,
1005,coronal sections of the brainstem (40 um) were also collected and used to localize lar to 5-ht-labeled serotonergic neuronal cell bodies in the raphe nuclei.,lar (inhibitor) ,
1006,"to study axonal growth and functional recovery in lar deficient mice after sci, we performed 3 sets of in vivo experiments in lar mutant mice as summarized in table 1. we",lar (inhibitor) ,
1007,"to determine possible role of lar deletion on scar tissue formation after cns injury, we measured the areas of gfap-positive reactive astrocyte tissues around the lesion from all the parasagittal sections in each animals with photoshop software (zukor et al., 2013).",lar (inhibitor) ,
1008,traumatic sci altered lar expression in the spinal cord,lar (inhibitor) ,
1009,"given dramatic upregulation of cspgs after cns injury and expression of lar in uninjured cns (fisher et al., 2011; jones et al., 2003; xie et al., 2001), traumatic axonal injury may alter lar expression.",lar (inhibitor) ,
1010,we examined levels of lar protein in the lesioned spinal,lar (inhibitor) ,
1011,"compared to uninjured controls, lar levels in the rostral spinal cord were significantly enhanced 3–21 days after sci although lar in the lesion center area was moderately reduced (fig.",lar (inhibitor) ,
1012,"in contrast, lar levels in the caudal spinal cord were not changed.",lar (inhibitor) ,
1013,"consistently, immunostaining for lar protein in parasagittal sections of the spinal cord displayed stronger lar signals in the spinal cord several mm rostral to the lesion epicenter (7 days after injury) than sham controls at the same spinal cord level (fig.",lar (inhibitor) ,
1014,"the lar signals presented in the areas of axon cylinders, neuronal bodies and glial cells (fisher et al., 2011).",lar (inhibitor) ,
1015,"thus, lar is upregulated in the rostral spinal cord days-weeks after a traumatic sci.",lar (inhibitor) ,
1016,"several ptps, including lar and ptpσ, regulate neuronal growth and guidance during development in vertebrates (gonzalez-brito and bixby, 2009; stepanek et al., 2005).",lar (inhibitor) ,
1017,"to determine the role of lar deletion in limiting descending axon growth in vivo, we examined growth of descending axonal tracts in adult lar mutant mice",lar (inhibitor) ,
1018,we confirmed the lack and reduction of lar protein in lar −/− and +/− mice with western blots (fig.,lar (inhibitor) ,
1019,"the number of progeny in lar −/− mice (17%) is lower than that of lar +/+ mice (25%) (yeo et al., 1997), but lar −/− and +/− mice are viable and grossly normal in appearance.",lar (inhibitor) ,
1020,"behavioral evaluation with multiple assays, including bms score, grid walk, thermal withdrawal and grip force, indicate the overall normal motor and sensory function in lar −/− mice compared to lar +/+ and +/− controls (not shown).",lar (inhibitor) ,
1021,we examined regrowth of 5-ht-stained serotonergic axons in lar mutant mice 5 weeks after a dorsal transection injury at t7 (fig.,lar (inhibitor) ,
1022,double staining for lar and 5-ht indicate lar expression in raphespinal axons and raphe neuronal cell bodies in the brainstem of wild-type mice (fig.,lar (inhibitor) ,
1023,"interestingly, most regrown 5-ht positive axons in lar −/− mice typically parallel the gfap+ reactive astrocytic processes surrounding the dorsal lesion epicenter and also present in the deeply transected areas close to the central canal and ventral spinal cord (fig.",lar (inhibitor) ,
1024,these findings suggest that lar deletion surmounts suppression of cspgs generated principally by reactive astrocytes and that reactive astrocytic processes might guide elongation of regenerative axons inside and around the lesion areas.,lar (inhibitor) ,
1025,"consistently, gfap+ processes have been suggested to guide cst axon regeneration in injured spinal cord following pten knockdown with sirna (zukor et al., 2013).",pten (inhibitor) ,
1026,"given wide expression of lar in adult cns and its role in mediating cspg inhibition (fisher et al., 2011), it may also contribute to growth failure of other descending tracts including csts.",cspg (inhibitor)  lar (inhibitor) ,
1027,"to evaluate potential role of lar in limiting cst growth in the lesioned spinal cord, we evaluated the integrity of bda-traced csts in adult lar mutant mice with dorsal overtransection injury.",lar (inhibitor) ,
1028,"consistently, lar protein was partially co-localized to cst axons in the spinal cord of adult mice (fig.",lar (inhibitor) ,
1029,we next examined whether lar deficiency would have any effects on scar generation by measuring the areas of gfap+ reactive astrocytic scar tissues from all parasagittal sections in each animal.,lar (inhibitor) ,
1030,"evaluations of gfap+ reactive astrocytes around the lesions indicated similar size and structures of reactive scar tissues in the lar +/+, +/− and −/− groups (fig.",lar (inhibitor) ,
1031,"this result suggests that lar deletion promotes axon regrowth principally by surmounting cspg inhibition, but not by reducing physical barrier of the scar tissues.",cspg (inhibitor)  lar (inhibitor) ,
1032,we monitored functional recovery in lar mutant mice a few weeks after sci by performing several behavioral tests.,lar (inhibitor) ,
1033,"therefore, lar deficiency in adult mice enhanced functional recovery after sci, in addition to increasing regrowth of descending axonal tracts.",lar (inhibitor) ,
1034,"identification of cspg receptors is an important advance for better understanding the scarmediated suppression, but many critical questions remain unanswered regarding cspg receptor-mediated suppression of neuronal growth.",cspg (inhibitor) ,
1035,"in this study, we demonstrate that transgenic deletion of lar increased growth of descending serotonergic axons and cst fibers in reactive scar tissues and caudal spinal cord after sci.",lar (inhibitor) ,
1036,"furthermore, lar deletion improved functional recovery by increasing bms locomotor scores, reducing grid walk errors and enhancing stride length of the hindlimbs weeks after sci.",lar (inhibitor) ,
1037,"we have recently demonstrated that pharmacological lar blockade with sequence-targeting peptides enhanced regrowth of descending 5-ht axons in sci (fisher et al., 2011), but confirmation of in vivo lar function with a transgenic method is critical, especially for exclusion of potential non- selective effects of the peptide study.",lar (inhibitor) ,
1038,this is the first transgenic study on the role of lar for regulating axonal growth and functional recovery in vivo.,lar (inhibitor) ,
1039,"this report, also for the first time, provided clear evidence that lar suppression stimulates regrowth of injured csts, which are important descending tracts for controlling voluntary and fine movements in mammals",lar (inhibitor) ,
1040,"thus, our findings support the crucial role of lar in restricting axon regrowth after cns injury.",lar (inhibitor) ,
1041,"our recent studies support that lar, another member in the lar subfamily, regulates cspg inhibition on neuronal growth as a functional receptor.",cspg (inhibitor)  lar (inhibitor) ,
1042,cspgs bind lar with high affinity and cspg stimulation enhances lar activity in vitro.,cspg (inhibitor)  lar (inhibitor) ,
1043,"blockade of lar with sequence-targeting peptides reverses neurite growth inhibition induced by cspgs and enhances serotonergic axon growth in the caudal spinal cord and locomotor functional recovery in sci mice (fisher et al., 2011).",lar (inhibitor) ,
1044,"however, the role of lar in limiting cns axonal regeneration has not been examined with genetic methods previously.",lar (inhibitor) ,
1045,"here, we have analyzed mice lacking lar protein and demonstrated the function of lar on restricting regrowth of axotomized cns axons in adult rodents.",lar (inhibitor) ,
1046,"although lar mutant mice have a different genetic background (dba) from c57bl/6 animals used in peptide study and it is hard to compare the number of serotonergic axon growth between two studies, analysis of axonal regrowth and functional recovery in lar ko mice has provided firm conclusion on lar function and insights into the molecular mechanisms of scar-mediated suppression on neuronal growth.",lar (inhibitor) ,
1047,"in particular, the increased 5-ht fibers detected in the caudal spinal cord in lar −/− mice could be derived from regenerating fibers of lesioned tracts and/or sprouting of spared fibers because dorsal overhemisection spared a small portion of 5-ht axons in the ventral spinal cord (fisher et al., 2011; li and strittmatter, 2003; ohtake et al., 2014).",lar (inhibitor) ,
1048,"many studies demonstrated a limited degree of sprouting or regenerative growth of injured cst axons by inhibiting myelin-associated inhibitors and scar-rich proteoglycans (bradbury et al., 2002; li and strittmatter, 2003), applying neurotrophic factors (schnell et al., 1994), suppressing intracellular rhoa and gsk-3β signals (dill et al., 2008; mckerracher and higuchi, 2006), transplanting grafts, or combining different strategies (diener and bregman, 1998; li et al., 1997; ruitenberg et al., 2005).",rhoa (inhibitor) ,
1049,we thus also evaluated the integrity of cst axons in mice with a dorsal transection in lar mutant mice.,lar (inhibitor) ,
1050,"although most transected cst axons terminated before reaching the lesion center, lar deletion induced regrowth of cst axons into the scar tissues and the caudal spinal cord in most sci mice.",lar (inhibitor) ,
1051,both lar and ptpσ would induce greater axon regeneration than targeting one receptor alone.,lar (inhibitor) ,
1052,"dorsal over-transection at 1 mm depth transected all the csts in lar mutant mice, including the dorsal, dorsolateral and lateral csts, because no bda-traced ventral cst fibers were detected in these mice.",lar (inhibitor) ,
1053,"consistently, we did not detect any obvious regrowth of csts in the caudal spinal cord in either lar +/+ or +/− mice although lar reduction in +/− mice (fig.",lar (inhibitor) ,
1054,"moreover, all the bda- labeled axons in the caudal spinal cord of lar −/− mice followed branching and tortuous courses (figs.",lar (inhibitor) ,
1055,surmounting inhibition of scar tissues around the lesion is probably the molecular basis for increased axon growth and improved behavioral recovery in lar −/− mice.,lar (inhibitor) ,
1056,"purified cspgs dose- dependently bind lar with high affinity and cspg stimulation activates lar phosphatase in vitro (fisher et al., 2011).",cspg (inhibitor)  lar (inhibitor) ,
1057,"consistently, transgenic or pharmacological inhibition of lar stimulates regrowth of descending axons into cspg-rich scar tissues following cns injury.",lar (inhibitor) ,
1058,"together, lar plays a significant role in mediating scar-sourced inhibition as a functional receptor.",lar (inhibitor) ,
1059,the enhanced supraspinal sprouting and/or regeneration to the caudal spinal cord probably contribute to the improved functional recovery in lar −/− mice although segmental mechanisms and short-range sprouts appeared to play a major role in the locomotor recovery of control sci mice.,lar (inhibitor) ,
1060,"given widespread expression of lar protein in adult cns (fisher et al., 2011; zhang et al., 1998), lar deletion might also stimulate sprouting, regeneration and reorganization of ascending tracts as well as the other descending fibers (such as rubrospinal axons), which probably contributed to the enhanced functional recovery.",lar (inhibitor) ,
1061,"of note, we cannot exclude the possibility that lar inhibition promotes functional recovery by other mechanisms, such as protecting injured tissues and enhancing differentiation of endogenous stem cells and myelination.",lar (inhibitor) ,
1062,"recent elucidation of the mechanisms by which cspg acts may not only lead to a more profound understanding of cns axon regeneration, but facilitate development of therapies that restore function to persons disabled by cns injuries (fisher et al., 2011).",cspg (inhibitor) ,
1063,"because inhibiting each of the recently-identified cspg receptors, including ptpσ, lar or ngrs, could partly overcome suppression of the scar-sourced inhibitors (dickendesher et al., 2012; fisher et al., 2011; fry et al., 2010; shen et al., 2009), simultaneous blockade of these receptors may achieve greater axonal regeneration and functional recovery.",cspg (inhibitor)  lar (inhibitor) ,
1064,downregulation of the lar protein tyrosine phosphatase receptor is associated with increased dentate gyrus neurogenesis and an increased number of granule cell layer neurons.,lar (inhibitor) ,
1065,nonsteroidal anti-inflammatory drugs promote axon regeneration via rhoa inhibition.,rhoa (inhibitor) ,
1066,systemic pten antagonist peptides promote axon growth and recovery after spinal cord injury.,pten (inhibitor) ,
1067,scar-mediated inhibition and cspg receptors in the cns.,cspg (inhibitor) ,
1068,overexpression of the transmembrane tyrosine phosphatase lar activates the caspase pathway and induces apoptosis.,lar (inhibitor) ,
1069,deficient lar expression decreases basal forebrain cholinergic neuronal size and hippocampal cholinergic innervation.,lar (inhibitor)  lar (inhibitor) ,
1070,expression of cspg receptors ptpsigma and lar selectively in poorly regenerating reticulospinal neurons of lamprey.,cspg (inhibitor)  lar (inhibitor)  cspg (inhibitor)  lar (inhibitor) ,
1071,short hairpin rna against pten enhances regenerative growth of corticospinal tract axons after spinal cord injury.,pten (inhibitor) ,
1072,figure 1. traumatic injury alters lar expression in the lesioned spinal cord,lar (inhibitor) ,
1073,"a–c, the levels of lar were analyzed with western blots from tissue lysates of fresh spinal cord blocks 2–6 mm rostral to the lesion (a), at lesion site (2 mm rostral to and caudal to injury center, containing the lesion (b), 2–6 mm caudal to the lesion (c), or from the same level of the spinal cord in no-sci controls.",lar (inhibitor) ,
1074,bar graphs below the bands indicate densitometric analysis of lar from multiple animals.,lar (inhibitor) ,
1075,trauma significantly increased lar levels rostral to the lesion although there was a reduction at the lesion site.,lar (inhibitor) ,
1076,"d, immunostaining for lar protein in parasagittal sections of the spinal cord indicated stronger signals in the spinal cord 3 mm rostral to a dorsal over-transection 7 days after injury than sham controls at the same spinal cord level.",lar (inhibitor) ,
1077,"e, western blots confirm the reduction and deletion of lar protein in the brain and spinal cord of adult lar",lar (inhibitor) ,
1078,figure 2. lar deletion in adult mice enhances growth of serotonergic fibers in the scar tissue and caudal spinal cord after t7 sci,lar (inhibitor) ,
1079,"c, parasagittal sections of the spinal cord around the lesion from representative mouse in each group indicate growth of 5-ht-labeled serotonergic axons (red) into the gfap-stained astrocytic scar tissue (green) in lar −/− mouse, but not in lar +/+ sci controls.",lar (inhibitor) ,
1080,serotonergic axons in the caudal spinal cord of lar −/− animal than that in sci controls.,lar (inhibitor) ,
1081,"the indicated differences were compared to lar +/+ (black *) or lar +/− (red *) group (*p<0.05,",lar (inhibitor) ,
1082,figure 3. lar deletion in adult mice enhances growth of serotonergic fibers in the caudal spinal cord 5–7 mm caudal to the lesion at the upper lumbar levels,lar (inhibitor) ,
1083,the indicated differences were compared to lar +/+ (black asterisk) or,lar (inhibitor) ,
1084,"c, transverse sections of the spinal cord 5–7 mm caudal to the lesion displayed reduced 5-ht fibers 5 weeks after dorsal transection at t7 in sci controls, but sections from lar −/− mice displayed increased density of serotonergic fibers in central and ventral part of the spinal cord compared to control mice.",lar (inhibitor) ,
1085,"d, lar protein is partially co- localized to 5-ht-labeled axons (white arrows) in the spinal cord and to 5-ht-labeled neuronal cell bodies (white arrows) in the medulla.",lar (inhibitor) ,
1086,figure 4. lar deletion induces regrowth of cst axons in the caudal spinal cord after sci,lar (inhibitor) ,
1087,"cst axons terminated at the lesion area in lar +/+ mice, but lar −/− animals display regrowth of cst axons around lesion and in the caudal spinal cord.",lar (inhibitor) ,
1088,the indicated differences in e were compared between lar +/+ and −/− groups (*p<0.05).,lar (inhibitor) ,
1089,figure 5. images of parasagittal sections indicate regrowth of cst axons in the caudal spinal cord of lar −/− mice,lar (inhibitor) ,
1090,"e–h, similar sections from two lar −/− mice demonstrate a number of cst fibers in the spinal cord caudal to the transection, particularly in the gray matter areas.",lar (inhibitor) ,
1091,"higher- magnification images from f and h demonstrate the meandering course of bda-traced cst fibers (arrowheads) around the lesion in the caudal spinal cord, but not in lar +/+ and +/− controls (b, d).",lar (inhibitor) ,
1092,figure 6. lar deletion induces regrowth of cst axons in the caudal spinal cord at the upper lumbar level,lar (inhibitor) ,
1093,"a–l, transverse sections 5–7 mm rostral to the lesion display the similar pattern of cst labeling in lar +/+, +/− and −/− mice (a, e, i).",lar (inhibitor) ,
1094,"in contrast to no bda-traced cst axons in the spinal cord 5–7 mm caudal to the lesion in lar +/+ and +/− mice (b–d, f–h), a number of cst axons were observed at the same levels of the spinal cord in lar−/− mice (j–l).",lar (inhibitor) ,
1095,indicates increased cst fibers in the spinal cord 5–7 mm caudal to the lesion in lar −/− group (*p<0.05).,lar (inhibitor) ,
1096,"o, double staining indicates the expression of lar protein in bda- labeled cst axons in lar +/+ mice.",lar (inhibitor) ,
1097,white arrows indicate co-localization of lar protein to cst axons.,lar (inhibitor) ,
1098,"figure 7. lar deletion did not alter the size of reactive astrocytic scar tissues around the lesion a, images for gfap staining from parasagittal sections of the spinal cord around the lesion displayed similar patterns of reactive astrocytes in 3 groups of mice.",lar (inhibitor) ,
1099,"b, graph indicates quantification of gfap- positive reactive astrocyte areas from all parasagittal sections in lar +/+, +/− and −/− groups.",lar (inhibitor) ,
1100,figure 8. lar deletion improves locomotor recovery in adult mice with sci,lar (inhibitor) ,
1101,"a–c, graphs indicate the locomotor bms scores in different groups of lar mutant mice with sci from 3 separate experiments.",lar (inhibitor) ,
1102,"d, graph indicates grid walk errors in lar +/+, +/− and −/− mice 5 weeks after sci in experiment 1. e, graph indicates stride length of the hindlimbs 5 weeks after injury in 3 groups in experiment 2. f, the representative footprints of the hindlimbs are shown in 3 mice from experiment 2. the indicated differences were compared to lar +/+ or +/− sci controls (*p<0.05, **p<0.01).",lar (inhibitor) ,
1103,summary of lar mutant mouse experiments to study axon growth and recovery after sci,lar (inhibitor) ,
1104,"moreover, nerve grafts induced expression of growth factors such as ngf and bdnf in the host spinal cord and attenuated delayed glial scar formation at the interface of the caudal spinal cord, which is crucial for successful regeneration (kuo et al., 2011).",bdnf (inhibitor) ,
1105,"alternatively, other factors like bdnf failed to increase the number of axons that regenerated back into the spinal cord which may be attributed to an insensitivity of propriospinal axons to bdnf (tom et al., 2013).",bdnf (inhibitor) ,
1106,exogenous bdnf enhances the integration of chronically injured axons that regenerate through a peripheral nerve grafted into a chondroitinase-treated spinal cord injury site.,bdnf (inhibitor) ,
1107,"however, only transplantation of gdas bmp, not of gdas cntf or grp cells, promotes extensive neuronal survival, axonal regenera- tion, and functional recovery in a rodent sci model ( , ; ).",,cntf (promoter) 
1108,"expression level of postn in grp, gdas bmp, and gdas cntf measured by semiquantitative pcr (b) or western blot analysis (c).",,cntf (promoter) 
1109,"to differentiate gdas bmp from gdas cntf, grps were exposed to 1 ng/ml bfgf and 10 ng/ml bmp4 (r&d systems) or 10 ng/ml cntf (peprotech), respectively, for 6 d. for postn knock- down, grps stably transduced with lentiviral control vector or postn specific short hairpin rna constructs were induced with bmp-4.",,cntf (promoter) 
1110,"to test the effect of rpostn on substrates inhibitory for axon growth, drgns and cgns were seeded on plates precoated with 1 µg/ml laminin and combinations of rpostn (1, 2.5, or 5 µg/ml), chondroitin sulfate proteoglycan (cspg) extracts (2.5 µg/ml; millipore) or myelin extract () as indicated.",,laminin (promoter) 
1111,"although conditioned medium from grps and gdas cntf did not have a significant effect on neurite outgrowth (<1.5-fold), gdabmp conditioned medium increased neurite outgrowth 3-fold ( b).",,cntf (promoter) 
1112,"microarray analysis of genes differen- tially expressed in grps, gdas bmp, and gdas cntf identified postn as a secreted protein of ~100 kda specifically expressed in gdas bmp.",,cntf (promoter) 
1113,"b, em- bryonic grps and postnatal astrocytes cultured in vitro for 20, 40, or 60 d were treated with fgf, bmp, or cntf for 6 d. expression of postnwasmeasuredby western blot analysis.",,cntf (promoter) 
1114,although our previous studies demonstrated the increased expression of the neurotrophic factors bdnf and gdnf in,bdnf (inhibitor) ,
1115,"gdas bmp over gdas cntf or parental grp cells (), postn is the first agent identified that plays a criti- cal role in the regeneration-promoting functions of these astrocytes., our exper- iments provide a novel function of postn in promoting neurite extension and axonal regeneration after sci.",,cntf (promoter) 
1116,"however, cspg levels remained higher in the homozygous compared to the heterozygous mice, suggesting that cspg-degrading activity of mmp-9 may require the presence of ngr1.",cspg (inhibitor) ,
1117,"one of the physiological hurdles for promoting axon regrowth is the presence of growth inhibitors in the cns myelin sheath, including nogo, mag (myelin-associated glycoprotein), and omgp (oligodendrocyte myelin glycoprotein).2 although there are multiple pathways that lead to the inhibition of axon regeneration, neuronal ngr1 has been identified as the converging point for these endogenous myelin-associated inhibitors (mais).3ngr1 is a glycosylphosphatidylinositol-linked leucine rich repeat protein that signals through multiple transducers such as the low-affinity neurotrophin receptor p75, tnf□ receptor superfamily member 19 (troy), and lingo-1,4,5 as well as integrins, egf receptor, b-lymphocyte stimulator (blys), and leucine-rich glioma-inactivated protein 1 (lgi1).6789,10",mag (inhibitor)  omgp (inhibitor) ,
1118,"enhanced axon outgrowth and functional recovery following sci have been shown with nogo-a antibodies, 11 the ngr1 antagonist peptide nep 1-40,12 and soluble ngr ectodomains.13 surprisingly, some studies have shown contradictory evidence.",ngr (inhibitor) ,
1119,ngr1-null mice or nogo ligand-deficient mice.15 these results suggest that removing ngr1 alone may be insufficient to enhance axon regeneration and functional recovery.,nogo (inhibitor) ,
1120,"8cspgs are one type of extracellular matrix molecules that are associated with glial scars, are dramatically upregulated during the neuroinflammatory phase, and are growth inhibitory.8 thus, we expected increased gfap and cspg immunocreactivity at the injury site and examined whether changes in the levels of reactive",cspg (inhibitor) ,
1121,these findings strengthen the idea that ngr1 antagonism alone may not be sufficient to induce significant improvements following sci but may necessitate combination with other therapeutic measures such as spatial or temporal regulation of glial scar formation or cspg degradation.,cspg (inhibitor) ,
1122,"wang kc, kim ja, sivasankaran r, segal r, he z. p75 interacts with the nogo receptor as a co- receptor for nogo, mag and omgp.",nogo (inhibitor)  mag (inhibitor) ,
1123,functions of nogo proteins and their receptors in the nervous system.,nogo (inhibitor)  nogo (inhibitor)  nogo (inhibitor)  nogo (inhibitor) ,
1124,genetic deletion of the nogo receptor does not reduce neurite inhibition in vitro or promote corticospinal tract regeneration in vivo.,nogo (inhibitor)  nogo (inhibitor) ,
1125,activity-induced and developmental downregulation of the nogo receptor.,nogo (inhibitor) ,
1126,"david s, fry ej, lopez-vales r. novel roles for nogo receptor in inflammation and disease.",nogo (inhibitor) ,
1127,increased gfap (i - l) and cspg (m - p) immunoreacitivty is detected surrounding the injury site (arrows) in sagittal sections.,cspg (inhibitor) ,
1128,"figure 5. mmp-9 activation, cspg degradation, and glial scar formation in ngr1 mutant mice",cspg (inhibitor) ,
1129,"direct chemical coupling was achieved by activating the carboxylic acid groups of the adsorbed laminin or fibronectin with 500 μl of a 1 mg/ml n-(3-dimethylaminopropyl)-n′- ethylcarbodiimide (edc, thermo scientific) solution for 15 minutes followed by the addition of 500 μl of a 2 mg/ml sulfo- n-hydroxysuccinimide (nhs, thermo scientific) solution, to increase the aqueous stability of the activated carboxylic acid.",,laminin (promoter) 
1130,"rgcs were cultured at 37°c, 10% co2 and 100% humidity in neurobasal media supplemented with insulin, sodium pyruvate, penicillin/streptomycin, n-acetyl cysteine, triiodo-thyronine, forskolin, sato, b27 and bdnf and cntf growth factors at previously published concentrations.",bdnf (inhibitor) ,cntf (promoter) 
1131,"to verify that netrin-1 concentrations used in soluble form in prior axon guidance experiments were sufficient for a biological response when chemically immobilized, netrin was immobilized in a random, non-gradient-forming method by edc and nhs onto laminin-coated scaffolds.",,netrin (promoter) 
1132,"in addition, rgcs cultured on these scaffolds extended shorter axons owing to the combination of netrin-1 on laminin becoming a repulsive guidance cue.",,laminin (promoter) 
1133,"the incorporation of netrin-1 did require a fibronectin coating of pla fibers rather than the laminin coating used previously[19, 26] as laminin has been shown to alter netrin-1 from an attractive to a repulsive guidance factor.",,laminin (promoter) 
1134,"in our initial studies, we utilized the repulsive effect of immobilized netrin-1 on laminin to determine if we were able to immobilize a therapeutically relevant concentration of the guidance protein.",,laminin (promoter) 
1135,"this limited response could be due to the mechanism of netrin-1 signaling, which has been demonstrated to be a result of mitochondrial dynamics[35] and increases in camp in the growth cone[11, 36].",,camp (promoter) 
1136,"however, one of the components in the defined rgc culture medium, forskolin, has been shown to also increase camp at the growth cone.",,camp (promoter) 
1137,"netrin and netrin receptor expression in the embryonic mammalian nervous system suggests roles in retinal, striatal, nigral and cerebellar development.",,netrin (promoter) 
1138,turning of retinal growth cones in a netrin-1 gradient mediated by the netrin receptor dcc.,,netrin (promoter) 
1139,integrins and camp mediate netrin-induced growth cone collapse.,,camp (promoter) 
1140,growth cone navigation in substrate-bound ephrin gradients.,ephrin (inhibitor) ,
1141,growth cones turn and migrate up an immobilized gradient of the laminin ikvav peptide.,,laminin (promoter) 
1142,"badaut j, ashwal s, obenaus a (2011) aquaporins in cerebrovascu- lar disease: a target for treatment of brain edema.",lar (inhibitor) ,
1143,"the effect of camp on neurite outgrowth was first demonstrated in chick dorsal root ganglia cells, in which camp treatment increased both length and number of axons [16].",,camp (promoter) 
1144,"since then, the role of camp in the growth and guidance of axons has been extensively studied.",,camp (promoter) 
1145,"as neurons mature, intracellular camp levels decline along with the ability of axons to regenerate after injury [15,17].",,camp (promoter) 
