,Molecule Name,% Inhibitor,% Promoter,% Neither,Total Sentences Found
omp,"omp,olfactory marker pro- tein",0.49868631188292056,0.4990989459765842,0.002214733249275014,2
atl,"atl,angiotensin ii type l",0.7889224006521545,0.0675491347822117,0.14352846599331315,32
pip2,"pip2,phosphoinositol phos- phate 2",0.6648322452820139,0.1858217319074486,0.14934600543139304,7
pr,"pr,progesterone",0.5323032760757996,0.08987612091544482,0.37782060029209485,60
blbp,"blbp,brain lipid binding protein",0.4748045802116394,0.3638274297118187,0.16136799938976765,2
imp,"imp,injured membrane proteoglycan",0.00015327225992223248,0.0021011258225674587,0.9977455933888754,6
tzds,"tzds,thiazolidinediones",0.9707956314086914,0.025875156745314598,0.00332923443056643,1
glca,"glca,glucuronate disaccharide",0.0003989948963862844,0.385432040784508,0.6141690239310265,2
ido,"ido,indoleamine 2,3- dioxygenase",0.1481185316961495,0.09378758496541072,0.7580938797988441,738
rock2,"rock2,aav.rock2-shrna",0.6836770301154047,0.1496808352443395,0.16664214149352574,64
mmtv,"mmtv,mammary  tumor  virus",0.9994930823644003,0.00022872644573605308,0.000278247389360331,3
rheb1,"rheb1,ras homolog enriched in brain 1",0.9990468621253967,0.0002633769763633609,0.0006897457060404122,1
wasp,"wasp,wiskott-aldrich syndrome protein",0.3355800470841738,0.663362528430298,0.0010574311017990112,3
trh,"trh,thyrotropin-releasing hor­ mone",0.4723299864126602,0.19213149067460714,0.3355384893560161,3
carp,"carp,carpio; 800-1200 gm",0.0010226880323090074,0.11102397945352196,0.8879532998479489,9
nogo66,"nogo66,amino-nogo) and the 66-amino-acid extracellular carboxy- terminal fragment",0.7946746192872525,0.08910583440374467,0.11621956725721247,10
cscl,"cscl,cesium chloride",0.31116504401143175,0.025227519683539867,0.6636074036359787,2
ac,"ac,adenylyl cyclase",0.09902327408761503,0.023091855183733773,0.8778848649956711,92
stat6,"stat6,signal transducer and activator of transcription 6,signal transducers and activators of tran- scription 6,signal transducers and activators of tran- scription 6",0.5970190118532628,0.3875608574744547,0.015420142540582068,12
npfs,"npfs,neurite-promoting factors",0.0029527751612477005,0.948767751455307,0.04827945260331035,2
fmrp,"fmrp,fragile x mental retardation protein",0.9949509104092916,0.001893270270860133,0.0031557927237978825,3
dbcamp,"dbcamp,dibutyryl cyclic adeno- sine monophosphate,dibutyryl camp",0.0005409956211224198,0.9976745148499807,0.0017845111991240021,6
gfap,"gfap,glial fibrillary acid protein,glial fibrillar acidic protein,glial fibrillary acidic protein,glial fibrillary acidic protein,glial fibrillary acidic protein,glial fibrillary acidic protein,anti-glial fibrillary acidic protein,glial fibrillary acidic protein",0.2847484970755976,0.43934033300736536,0.2759111703490014,339
syncam,"syncam,synaptic cell adhesion molecules",0.2482586460391758,0.2976332507096231,0.45410811585679767,4
trks,"trks,ty- rosine kinase neurotrophic receptors",0.6617627887485119,0.13118987653713424,0.2070473183451283,13
plga,"plga,poly(lactic-co-glycolic acid),poly (lactic-co- glycolic) acid,poly(lactic-co-glycolic acid)",0.22240908743401963,0.32717352981263254,0.45041738739119086,69
mog,"mog,myelin oligodendrocyte glycoprotein",0.681517917662859,0.22146053756587208,0.09702153106336482,5
npcs,"npcs,neural progenitor cells",0.9407751758893331,0.004410609724194122,0.05481418114504777,3
mdgi,"mdgi,mammary- derived growth inhibitor",0.9996956586837769,0.00013544764078687876,0.00016883407079149038,1
ampa,"ampa,dl-a-amino-3-hydroxy-5-methylisoxa­ zole-propionic acid,alpha-amino-3-hydroxy-5-methylisoxazoleproprionate,α-amino-3-hydroxy-5-methyl-4-isox- azolepropionic acid,-amino-3-hydroxy-5-methyl-4- isoxazolepropionic acid",0.6865517111888805,0.17834065839691138,0.1351076355981365,19
pll,"pll,poly­ l-lysine,poly-l-lysine",0.1422616344069895,0.5956035543330794,0.26213481828838875,31
mr,"mr,molecular mass",0.07351662407077128,0.051112245621789044,0.8753711182822371,80
nt3,"nt3,neurotrophin-3,neurotrophin 3",0.820479140045158,0.04190120899740735,0.1376196586734295,92
pjun,"pjun,phosphorylated jun",0.21183739800471812,0.7725701133410136,0.015592468669638038,3
pdl,"pdl,poly- d-lysine",0.0006886410264996812,0.9987289607524872,0.0005824081599712372,2
pthrp,"pthrp,parathyroid hormone-related peptide",0.9942069053649902,0.0011956412345170975,0.004597444087266922,1
ipsi,"ipsi,ipsilateral",0.15884870123024705,0.11071895090939848,0.7304323465810835,457
plgf,"plgf,placental growth factor",0.31712415909714764,0.6748905344866216,0.007985295713297091,4
dtt,"dtt,dl-dithiothreitol",0.9853922724723816,0.014350613579154015,0.0002570893557276577,1
pgipz,"pgipz,shsocs3/pgipz (lenti-shsocs3",0.2281146104602764,0.43754384940257296,0.33434150837517035,6
ppi,"ppi,phosphatase i",0.11647289765801241,0.05177971124020306,0.8317473905568591,764
ctb,"ctb,cholera toxin b",0.2620258682190979,0.32982756704132044,0.40814656378980935,56
canp,"canp,calcium activated neutral proteinases",0.8217223994652159,0.0040843234575517915,0.17419327292180456,17
s6k,"s6k,s6 kinase",0.7373638673307141,0.11155426633831667,0.15108186951329117,8
lel,"lel,lycopersicon esculentum lectin",5.8708869619295e-05,0.00011511331686051563,0.9998261570930481,5
parp,"parp,poly(adp-ribose) polymerase",0.2962931916823436,0.20455584423762047,0.4991509431391023,5
praptor,"praptor,phosphorylated-raptor",0.0003927819270757027,0.9188938438892365,0.08071342408948112,2
p5klf6,"p5klf6,p5klf4) or the axon growth enhancer klf6",0.1642244962119245,0.2013352852306222,0.6344402230849179,12
atf3,"atf3,activating transcription factor 3,activating transcription factor 3",0.013275651498198775,0.8402944922314158,0.14642985910593,7
tlr,"tlr,toll-like receptor",0.4971956111645947,0.4922243823142101,0.010580036750373742,6
troy,"troy,tnf□ receptor superfamily member 19",0.49894434467569226,0.0012156555433951628,0.49984002915637876,6
myti,"myti,myelin transcription factor i",0.0096934575940395,0.0009864324201771524,0.9893201291561127,2
oxr1,"oxr1,oxidase resistance 1",0.8980846802393595,0.02447945929210012,0.07743592591335376,3
phpma,"phpma,poly n-2-hydroxypropyl- methacrylamide,poly(hydroxypropyl methacrylate)",0.0005900196629227139,0.22293932384127402,0.7764706574380398,4
timps,"timps,tissue inhibitors of metalloproteases,tissue inhibitors of the mmps",0.11087087247869931,0.8736953139305115,0.01543385861441493,2
bcan,"bcan,brevican",0.34460736671462655,0.004059234498223911,0.6513334069847284,3
fatp,"fatp,transport protein",0.6472623348236084,0.024005651473999023,0.32873204350471497,1
ptsd,"ptsd,post-trau- matic stress disorder",0.986396074295044,0.0007507022237405181,0.012853274121880531,1
ngf,"ngf,ngf,nerve growth factor,nerve growth factor,nerve growth factor",0.4919536932439742,0.4251372057395831,0.08290910002162437,474
akt,"akt,t-akt), gsk-3β (t-gsk",0.7165577487150744,0.2226063334078324,0.060835917707848144,69
gdnpf,"gdnpf,glia-derived neurite-promoting factor",0.015338666455742592,0.9820991158485413,0.0025621760869398713,3
pkc,"pkc,protein kinase c,protein kinase c,protein kinase c",0.579294242397591,0.2763236054600566,0.14438215725531336,25
apc,"apc,anaphase promoting complex,anti-adenomatous polyposis coli",0.5227230822783895,0.2873895359287936,0.18988737883877807,14
tgfb,"tgfb,transforming 
growth factor beta",0.33451971389715457,0.22530428041904493,0.44017601268973927,9
klfs,"klfs,krüppel-like family of transcription factors",0.26169170230908395,0.7223863571925904,0.015921940893652693,12
chat,"chat,choline acetyltransferase,cholinergic acetyl transferase",0.14381611922446888,0.33362933174766324,0.5225545513183953,13
ng66r,"ng66r,nogo66 receptor",0.9969972372055054,0.00014730966358911246,0.0028555241879075766,1
mp,"mp,myotubularin-related protein (mtmr",0.40696969160611235,0.1475938506874728,0.4454364600609956,18
erk,"erk,extracellular signal-regulated kinase,extracellular signal-regulated protein kinase",0.3640507373232994,0.4761641980764001,0.15978505828102105,33
tnfa,"tnfa,tumor necrosis factor a",0.47018569247383213,0.39746872489599305,0.13234560063089398,9
egta,"egta,ethylene glycol tetraacetic acid,ene glycol tetraacetic acid",0.0015030209277548628,0.5644241579076541,0.4340728102833964,7
pakt,"pakt,phosphorylated akt,phosphorylated akt",0.5097766156795842,0.4750886580950464,0.015134707173274364,8
art,"art,artemin",0.000277194138515351,0.002125946844750374,0.9975968477677326,49
pde4,"pde4,phosphodiesterase 4",0.6610217169703295,0.32701555953341693,0.01196275963836039,3
egr2,"egr2,early growth response 2 gene",0.5005129507432381,0.054406706508113224,0.4450802887173874,6
mcp1,"mcp1,monocyte chemotactic protein-1",0.5366345643997192,0.4630989730358124,0.00026645560865290463,1
cret,"cret,cret",0.45078900485047296,0.5070807145093568,0.04213030027797989,6
sigma,"sigma,sigmafast protease inhibitor",0.4559566925589544,0.26702179698967093,0.2770214990765193,56
hmts,"hmts,histone methyltransferases",0.002632998628541827,0.9405882358551025,0.056778717786073685,1
htt,"htt,huntingtin",0.10276156625736135,0.00661718581681311,0.8906212483917577,497
sybii,"sybii,anti-synaptobrevin ii",0.03203180921263993,0.965424656867981,0.0025435133720748127,2
dhp,"dhp,dihydropyrimidinase",0.37573124639129674,0.00021441031094582286,0.6240544042957481,8
tmb,"tmb,tetramethyl benzedine",0.0018334326689780159,0.6170273269952824,0.38113923722578746,7
hme,"hme,histone-modifying enzyme",0.09806639404620396,0.07448933928434383,0.827444263951095,1091
vpa,"vpa,valproic acid",0.8356213845312596,0.11401850551046663,0.050360090522735844,10
mlc,"mlc,myosin light chain",0.0632773429201734,0.18653066255819795,0.750191983219338,16
ntf,"ntf,neurono­ trophic factor,neurotrophic factors",0.5914867694955319,0.03574678242148366,0.3727664400357753,8
ptp,"ptp,protein tyrosine phosphatase sigma,protein-tyrosine phosphatase,protein-tyrosine phosphatase",0.9353229502836863,0.015838223408839742,0.048838839645516906,12
bpv,"bpv,bisperoxovanadium",0.830724584472288,0.1665604384991942,0.0027149869007795737,6
gsk3b,"gsk3b,glycogen synthase kinase 3b,glycogen synthetase kinase 3 beta",0.618899122663689,0.31111326610897033,0.06998762957774682,33
pdgfra,"pdgfra,platelet-derived growth factor receptor a",0.33438275490577024,0.12920341824064963,0.5364138159626842,6
fabp,"fabp,fatty acid-binding protein",0.3481569507059121,0.24061622584799067,0.41122683186590303,43
folr1,"folr1,folate receptor 1",0.0006933400873094797,0.9960944056510925,0.0032122842967510223,1
nbt,"nbt,nitroblue tetrazolium) and bcip (5-bromo-4-chloro-3-indolyl phosphate",0.4833335536495724,0.004009277501609176,0.5126572037115693,2
rfp,"rfp,red fluorescent protein",0.19298098015569848,0.5744088516861666,0.23261016523465514,5
limk,"limk,lim domain kinase",0.0016418842133134604,0.9938395619392395,0.004518576432019472,1
cspg4,"cspg4,chondroitin sulfate proteoglycan 4",0.9552028775215149,0.001328326528891921,0.04346880316734314,1
dpy,"dpy,dipyridine",0.12044352742086631,0.6782344967126847,0.2013219766318798,5
saha,"saha,suberoylanilide hydroxamic acid",0.40020358515903354,0.0690443329513073,0.5307520627975464,2
ptprs,"ptprs,phosphatase, recep- tor s",0.9992828071117401,0.000577938713831827,0.00013926488827564754,2
nile,"nile,nerve growth factor-inducible large external",0.05825589139567455,0.21908894654825417,0.7226551442727214,4
gsk3β,"gsk3β,glycogen synthase kinase 3β",0.6996570739066463,0.19465678463174288,0.10568614299651079,89
nt4,"nt4,neurotrophin 4",0.9990516304969788,0.0004691684152930975,0.000479186768643558,1
pdpk1,"pdpk1,phoinositide-dependent protein kinase 1",0.9982427656650543,0.00019713182700797915,0.001560068514663726,2
neo,"neo,neogenin",0.08782843468937547,0.01604852304747813,0.8961230341459062,12
zfp191,"zfp191,zinc finger protein 191",0.9989450573921204,0.0005730847478844225,0.0004819683381356299,1
shh,"shh,sonic hedgehog,sonic hedgehog",0.46257685516523256,0.20012262937575254,0.33730051024961344,79
ntfs,"ntfs,neuronotrophic factors",0.5215086340904236,0.2204172756173648,0.2580740754589594,3
ra,"ra,retinoic acid,retinoic acid",0.2079645025728496,0.27570721494936756,0.5163282814034876,120
tgfβ,"tgfβ,transforming growth factor-β",0.519170003865535,0.35018058156614035,0.13064943180264285,6
pont,"pont,partial optic nerve tran- section",0.18427923000348054,0.3603567793517499,0.45536398449663806,69
chpf,"chpf,chondroitin polymerizing factor",0.9982648491859436,0.0006257281638681889,0.0011094020446762443,1
hsps,"hsps,heat shock proteins",0.49221957379874465,0.4516069454451402,0.05617345555219799,6
soc3,"soc3,suppressor of the cytokine signaling 3",0.0010957348858937621,0.002799050183966756,0.9961051940917969,1
em,"em,epithelial-mesnchymal",0.11408205896721203,0.04287451697430467,0.8430434282107764,91
sema3a,"sema3a,semaphorin-3a",0.8464623937361466,0.03609812968384176,0.1174394774382866,240
inpp5f,"inpp5f,inositol polyphosphate-5- phosphatase f",0.8647623908473179,0.09033370946212343,0.04490390368104832,78
ntn,"ntn,neurturin",0.04607008200570905,0.027601494629438564,0.9263284184022679,124
moetacl,"moetacl,hema-2[2-(methacryloyloxy)ethyl]trimethylammonium chloride",0.0010933598678093404,0.9653587341308594,0.033547925762832165,2
cams,"cams,cell adhesion molecules",0.38238378342362855,0.3854869283833843,0.23212929013027828,27
eph,"eph,ephrins and their receptors",0.7205809390858556,0.14135072071465554,0.1380683352645449,71
opcs,"opcs,oligodendrocyte progenitor cells,oligodendrocyte precursor cells",0.30329977761587207,0.3343285792913153,0.3623716403545087,133
bmps,"bmps,bone morphogenetic proteins",0.09855788340688118,0.7575231505772015,0.1439189669971321,14
hema,"hema,2-hydroxyethyl methacrylate",6.021239823894575e-05,5.998943743179552e-05,0.9998798370361328,1
nadph,"nadph,nicotinamide adenine dinucleotide phosphate,nicotinamide adenine dinucleotide phosphate",0.3854266332273255,0.4019679610973981,0.21260542291565798,8
pip3,"pip3,phosphoinositol phosphate 3",0.7938205728423782,0.006567644648021087,0.19961176773067563,5
lama2,"lama2,laminin alpha2",0.002034522593021393,0.0003427510382607579,0.9976227879524231,1
fluc,"fluc,firefly luciferase",0.3100966217122429,0.30087430573864066,0.3890290971006228,6
hpma,"hpma,2-hydroxypropyl methacrylamide",0.0003994321159552783,0.9846151471138,0.014985400252044201,1
lmo4,"lmo4,lim domain only 4",0.5980527399107813,0.3650923959445208,0.036854904145002365,5
gcv,"gcv,ganciclovir",0.8161963284015655,0.016194829356390984,0.1676088448963128,5
fgfs,"fgfs,fibroblast growth factors,fibroblast growth factors",0.13724523029866925,0.80214397135106,0.060610803971278736,11
lim,"lim,lin-11, isl-1, and mec-3",0.40257174862252515,0.06728568009392195,0.5301425729542947,48
iopn,"iopn,intracellular osteopontin",0.046197254210710526,0.6973351240158081,0.25646764039993286,1
msg,"msg,monosodium glutamate",0.00010235312220174819,0.001280929078347981,0.9986166954040527,1
hsp70,"hsp70,heat shock protein 70",0.4126608904916793,0.3349668084033035,0.25237230740708244,67
nos2,"nos2,nitric oxide synthase 2",0.9783571064472198,0.02060352345870342,0.0010394207201898098,2
crmp2,"crmp2,collapsin response mediator protein 2,collapsin response mediator protein 2",0.6585336635018595,0.0027526484183100467,0.3387136916765788,9
tcep,"tcep,tris 20 carboxyethyl) phosphine",0.14934836711212743,0.00030942556830788296,0.85034219541246,14
gdf11,"gdf11,growth and differentiation factor 11",0.5050660744309425,0.35795809933915734,0.13697590114315972,2
fak,"fak,focal adhesion kinase,focal adhesion kinase",0.4886224944741116,0.47176605401473354,0.03961145715875318,20
prog,"prog,progesterone",0.5187397647739777,0.2711445070618,0.21011572211047716,98
pnpfs,"pnpfs,polyorni­ thine-attached neurite-promoting factors",0.00013399166346061975,0.0008350842399522662,0.9990309476852417,1
fniii,"fniii,fibronectin type iii",0.877545565366745,0.09766165773180546,0.02479277175370953,4
npf,"npf,neurite-promoting factor",0.035684315986425366,0.3678117350962286,0.5965039344289556,26
arhox1,"arhox1,arhox4/5 (12%",0.28011371616836794,0.38765932141864645,0.3322269588922306,18
ryk,"ryk,kinase-related tyrosine kinase",0.631304132749057,0.3638041682379002,0.004891711124831713,19
c6st1,"c6st1,chondroitin 6-o-sulfotransferase 1",0.9996387958526611,0.00017563439905643463,0.0001854952279245481,1
nimp,"nimp,nogo-interacting mitochondrial protein",0.04812365526111405,0.015806945318770107,0.9360693871255664,112
fbn,"fbn,fibronectin",0.6867114007472992,0.3119406576442998,0.001347960060229525,2
pmsf,"pmsf,phenyl- methanesulfonyl fluoride,phenylmethylsulfonyl fluoride",0.14360083294949227,0.6465141999568524,0.2098849774338305,7
baab,"baab,benzyl alcohol and benzyl benzoate",0.0001469179114792496,0.000482911360450089,0.9993701577186584,1
ghap,"ghap,glial hya- luronate-binding protein",0.26977886526146905,0.4637115285547528,0.2665095992250523,15
ncan,"ncan,neurocan",0.8210193169014972,0.022390175188775174,0.15659049371208225,42
sema6a,"sema6a,semaphorin 6a",0.9493196266038078,0.0015485582090540057,0.049131802406399014,14
fdd,"fdd,frequency-dependent depression ratio",0.7103202849626541,0.02103364442009479,0.26864610221236945,5
dil,"dil,-dioctadecyl-3,docarbocyanine perchlorate",0.08819528302746431,0.44005471334579244,0.4717500051226055,39
ccl17,"ccl17,c motif) ligand17,c motif) ligand17",0.33073930791579187,0.6690727022166053,0.000187997657728071,3
pi3k,"pi3k,phosphatidylinosi- tide 3-kinase",0.6189080141387725,0.21791733327396892,0.16317464082900793,24
pjnk,"pjnk,phosphorylated jnk",0.004483682569116354,0.9947945475578308,0.0007218234823085368,1
fcs,"fcs,fetal calf serum,fetal calf serum",0.0018873547232942656,0.3325595590576995,0.665553076347957,3
cdna,"cdna,complementary deoxyribonucleic acid",0.6082616126472777,0.13343115139155118,0.25830723191752103,149
bmp,"bmp,bone mor- phogenetic protein,bone morphogenic proteins",0.584089973290074,0.3040688678658972,0.11184116414612315,42
tace,"tace,to overcome mag inhibition. mt-i/ii inhibits a-secretase",0.9553228259086609,0.04327595844661118,0.0014012550585903228,5
nl4,"nl4,neuroligin-4",0.9277620017528534,0.003598147857701406,0.0686398542184179,8
tnfr,"tnfr,tnf receptor",0.999503493309021,0.0003075720160268247,0.00018900503346230835,1
npc,"npc,neural precursor cell",0.033737757010385394,0.003197041805833578,0.9630652070045471,4
dmso,"dmso,dimethyl sulfoxide",0.3554002593637878,0.3782504068008579,0.26634933489979384,44
tap,"tap,tobacco acid pyrophosphatase",0.03822255549591948,0.021943285867168108,0.9398341451514847,39
gba,"gba,glucocerebrosidase",0.9468901753425598,0.00027819344541057944,0.05283161625266075,1
wga,"wga,wheat germ agglutinin",0.4293585932464339,0.2776555873376007,0.29298579797226315,15
vegf,"vegf,vascular endothelial growth factor,vascular endothelial growth factor,vascular endothelial growth factor",0.3173557264009495,0.48032989626595474,0.2023143765769159,28
ni,"ni,neurite growth inhibitors",0.24220941572863153,0.06427112349956587,0.6935194520724158,52
ihh,"ihh,indian hedgehog",0.24726744891995622,0.0027527348092917236,0.74997976332088,4
map1b,"map1b,microtubule-associated protein 1b",0.5558678339754105,0.21222027431213064,0.23191188815034083,61
pdi,"pdi,anti-protein di- sulfide isomerase",0.5645843893289566,0.36987416027113795,0.06554145237896591,2
inos,"inos,inducible nitric oxide synthase,inducible nitric oxide synthase,inducible nos",0.624901025298459,0.32373398341587745,0.05136498523861519,20
mptp,"mptp,1-methyl-4-phenyl-1,1-methyl-4-phenyl-1,1-methyl-4- phenyl-1,2,3,6- tetrahydropyridine",0.7360984285672506,0.0005291048825408021,0.2633724566840101,3
bfgf,"bfgf,basic fibroblast growth  factor,basic fibroblast growth factor,basic fibroblast growth factor,basic fibroblast growth factor,basic fibroblast growth factor",0.2570700346647229,0.3762252740193492,0.36670468720561267,218
bhn,"bhn,brain-specific hyalu­ ronectin",0.44071584939956665,0.0017340646591037512,0.5575501322746277,1
pva,"pva,poly(vinyl alcohol)",0.0015318199002649635,0.4983418922201963,0.5001262596924789,2
sybi,"sybi,anti-synaptobrevin i",0.02138176346003699,0.6436406989984486,0.3349775105016306,3
irf,"irf,interferon response factors",0.1980888700492423,0.1419496861461359,0.6599614344117724,53
pacap,"pacap,pituitary adenylyl cyclase-activating peptide,pituitary adenylate cyclase-activating polypeptide",0.4762642208768976,0.36534525017012365,0.15839052626878306,23
rtk,"rtk,receptor tyrosine kinase",0.9969726800918579,0.002515279920771718,0.0005120274145156145,1
cgmp,"cgmp,(no)/cyclic guanosine 3',5'-monophosphate",0.13180471784681475,0.8592113547313672,0.008983942937517825,13
oxpc,"oxpc,oxidized phosphatidylcho- line",0.9801241159439087,0.019783517345786095,9.228230192093179e-05,2
vldls,"vldls,very low-density lipopro- teins",0.00139569619204849,0.025273384526371956,0.9733309745788574,1
nes,"nes,nestin",0.42135062458588174,0.0077491910357951254,0.5709001665402736,7
gpcr,"gpcr,g protein-coupled receptor",0.9938725630442301,0.0008437902118506221,0.005283638912563522,3
rmag,"rmag,recombinant mag",0.9979130625724792,0.00018571245891507715,0.001901211217045784,1
csat,"csat,cell sub­ stratum     attachment     antibody,cell substratum attachment antibody,cell substratum attchment antibody",0.0013500705535989255,0.6899548222621282,0.3086951128207147,3
bda,"bda,biotin dextran amine,biotin dextran amine,biotin dextran amine",0.34213433747884064,0.2608574624875047,0.39700819937714693,111
damps,"damps,damage-associated molecular patterns",0.5113928684033453,0.4589768912119325,0.029630238183017354,5
mbcd,"mbcd,methyl-b-cyclodextrin",0.4496063243114446,0.25169139359059045,0.2987022793940648,33
sema7a,"sema7a,semaphorin 7a",0.8568371002329513,0.008942398807266726,0.1342204849846894,10
hmgb1,"hmgb1,high-mobility group box 1",0.39468726853859454,0.40061485245314543,0.2046978826671572,24
prg5,"prg5,plasticity-related gene 5",0.9827341437339783,0.0012717153877019882,0.015994137153029442,1
pi,"pi,phosphatidylinositol,propidium iodide",0.15661012175752892,0.11993502046739608,0.7234548531176354,22
tubulin,"tubulin,tubulin isotype",0.43080474750577863,0.33135421394794456,0.23784104323381255,164
map2,"map2,anti-microtubule-associated protein 2,anti-microtubule-associated protein 2",0.43577586656313844,0.2815993378141381,0.2826247988664363,24
lbp,"lbp,lycium barbarum polysaccharide",0.3988851794705337,0.33184668327349326,0.2692681387680319,38
jak2,"jak2,janus kinase 2",0.5530935078859329,0.01445590439834632,0.43245060462504625,2
ccl5,"ccl5,c-c motif) ligand 5",0.7658488750457764,0.23378874361515045,0.00036239722976461053,1
psp,"psp,persephin",0.6419708132743835,0.349998414516449,0.008030789904296398,1
dapi,"dapi,4,6-diamidino-2-phenylindole",0.07898194721226964,0.5184796445425666,0.40253841101583565,114
cy7,"cy7,cyanine 7",0.14383009762968868,0.62832310795784,0.22784675657749176,3
tdt,"tdt,terminal deoxynucleotidyl transferase",0.07616104185581207,0.855179488658905,0.06865951418876648,1
ctx,"ctx,cholera toxin b subunit",0.48402870623976924,0.24078631606971612,0.2751849916530773,4
bio,"bio,bromoindirubin-39-acetoxime",0.12878556925660142,0.2344495617745941,0.6367648715565267,13
hsp,"hsp,heat shock proteins",0.543246337295776,0.4530655259607426,0.00368814541642288,7
aqp,"aqp,aquaporin",0.3361662740941808,0.07591279773135154,0.5879209317298124,35
hrg,"hrg,heregulin",0.0007041508021454016,0.997127632300059,0.002168207361440485,3
tsa,"tsa,trichostatin a,trichostatin a",0.5149805090995869,0.23000259519722022,0.25501691896715784,8
osm,"osm,oncostatin m",0.04273893222324869,0.07381158185170045,0.8834494818376697,520
dscam,"dscam,down syndrome cell adhesion molecule gene",0.3033630311561579,0.32875886688656036,0.36787809990175235,51
gfra,"gfra,gdnf family receptor a)",0.2449026498288731,0.7486976138607133,0.006399729565600865,4
pnp,"pnp,p-nitro-phenyl--d-xylopyranoside",0.4849921390414238,0.5133436247706413,0.0016642481641611084,2
il,"il,interleukin",0.010600605992741501,0.025691689016463914,0.9637076929994101,114
sreb,"sreb,sterol regulatory element binding protein",0.6274145841598511,0.0018666211981326342,0.370718777179718,1
gdnf,"gdnf,glial cell line-derived neurotrophic factor",0.50623993064346,0.27789994100555,0.2158601291572874,120
emi1,"emi1,early mitotic inhibitor  1",0.964355719089508,0.0009826313777011818,0.034661672479705884,5
ngfr,"ngfr,ngf and its receptor",0.3492882969985658,0.36234713918626466,0.2883645551749699,12
hepes,"hepes,4-(2-hydroxyethyl)-1-piperazineethane- sulfonic acid",0.3007822053557902,0.10303032904339489,0.5961874813423492,10
dopac,"dopac,dihydroxyphenylacetic acid",0.9508611559867859,0.030036700889468193,0.01910211320500821,2
acan,"acan,aggrecan",0.4808494153356959,0.09166785754415388,0.42748272445735186,18
pedf,"pedf,pigment epithelium-derived factor",0.31049892459798556,0.6777679519301663,0.011733138497740063,28
ldlr,"ldlr,low density lipoprotein re- ceptor",0.9972712397575378,0.0014472861075773835,0.001281439559534192,1
doc,"doc,deoxycholate",0.0007836566037440207,0.1576783907172891,0.8415379524230957,6
rag,"rag,regeneration-associated genes",0.4596352076251706,0.21239781767589092,0.32796699266085244,9
rtn4,"rtn4,reticulon 4 gene",0.8118722304701805,0.0021102343380334787,0.18601754393894226,5
mtorc1,"mtorc1,mammalian target of rapamycin complex 1",0.4646172851048918,0.34458761728125287,0.19079507980561836,22
hsp90,"hsp90,heat shock protein 90",0.46526314055154216,0.3496000895247562,0.18513677837472642,8
dic,"dic,differential interference contrast) (h",0.0010485935425094794,0.4940412481279054,0.5049101620024885,10
nof,"nof,neurite outgrowth factor",0.2429646555948156,0.5107100935069453,0.24632524405553174,11
il6,"il6,interleukin 6, increased",0.9929323792457581,0.006876713130623102,0.000190860442671692,2
dnmts,"dnmts,dna methytransferases",0.0026097691152244806,0.9967531561851501,0.0006370060727931559,1
scaffolds,"scaffolds,scaffolds (conduits",0.1405808282585931,0.26413248094863956,0.5952866905706469,250
pam,"pam,peptidylglycine o-amidating monooxygenase",0.1374031607206584,0.4638676190748251,0.39872921937002015,13
ggf2,"ggf2,glial growth factor 2",0.9981215596199036,0.00037082607741467655,0.0015076007694005966,1
αtub,"αtub,α-tubulin",0.03344371169805527,0.7260754704475403,0.24048078060150146,1
ps6,"ps6,phosphorylated form of s6,phospho-s6",0.31318969203639424,0.5686003742519461,0.11820992980938172,40
tgfa,"tgfa,transforming growth factor alpha",0.0003944863274227828,0.9985418319702148,0.0010636748047545552,1
yfp,"yfp,yellow fluorescent protein",0.3471835087606451,0.2013137169740124,0.4515027888783758,30
mnsod,"mnsod,manganese superoxide dismutase",0.20837734267115593,0.32597353169694543,0.46564918011426926,2
abc,"abc,avidin-biotin complex",0.6116987531101314,0.10962853923925145,0.2786727040226761,191
hdacs,"hdacs,histone deacetylases",0.1621617537093698,0.6231265063452156,0.2147117497461295,8
fbs,"fbs,fetal bovine serum",0.004024964678845006,0.6090687688410981,0.38690626289705204,18
pe,"pe,phosphatidylethanolamine,13-phyco-erythrin",0.22402160221177578,0.024337775995783368,0.7516406147541213,28
prx,"prx,periaxin",0.21854032576084137,0.0005311578861437738,0.7809284925460815,1
etbr,"etbr,ethidium bromide",0.4241911686724052,0.004701394366566092,0.57110744882375,5
rust,"rust,rubrospinal tract",0.4039638840392734,0.0029267912564376417,0.5931093198657771,19
slpi,"slpi,secreted leukocyte prote- ase inhibitor",0.47225776201230474,0.5259242202082532,0.0018180324987042695,4
grap,"grap,glial hyaluronate-binding protein",9.146876254817471e-05,5.743441215599887e-05,0.9998511075973511,1
hbfgf,"hbfgf,human bfgf",0.3366572117956821,0.37571938436303753,0.28762341174297035,6
kinases,"kinases,pls-kinases) and lipid phosphatases (e.g. synaptojanin",0.6899284549819952,0.14570136344624549,0.1643701882997259,111
dclks,"dclks,doublecortin-like kinases",0.5155413739266805,0.44654432746756356,0.03791430843921262,4
lps,"lps,lipopolysaccharide,lipopolysaccharide",0.8678639773279428,0.019088955777988303,0.11304705267320969,8
kspgs,"kspgs,keratan sulfate proteoglycans",0.9976210594177246,0.002262921720102895,0.00011601851292653009,2
